seed,leg,method,query_id,rank,r1,rr
41,library,BM25,fad4cb0085848de2db7273c941add4dbab900311074ee5a5023a328b818c93b9,0,0.0,0.0
41,library,BM25,38896a4d03fc5f681c0e3a9128718b22588ca34b9fa18c0d89d811ee3b5fdbe0,0,0.0,0.0
41,library,BM25,3129b00762c4a0278be8e8c742b328a7fb84c8bcd698ec05b9fcd2fefd05b6ab,0,0.0,0.0
41,library,BM25,23fd45e1da6fad58695cdce070343c598342ef3d99b8eaeb6f54fa56f035a200,0,0.0,0.0
41,library,BM25,03f20331840184d3a618eb6e8462ff0f2a5027652dfa10c1bd23eb9ef1718b54,0,0.0,0.0
41,library,BM25,00f915ed03fb056875ad3636c68d7808ab9b3c25231f2514bbff417ae191bb60,0,0.0,0.0
41,library,BM25,3e84740b5d59a3dc603b5b77c1e7616086b649fde65698608a02e87e71a83732,0,0.0,0.0
41,library,BM25,ac8d71b82784207407fd7794ca629931765b4cd064494419640b8ddb0abaddaa,0,0.0,0.0
41,library,BM25,fd1049a6599e5a45e8cafc35c983aa278c00237fdcd6506217c15f8d6a7d09d9,0,0.0,0.0
41,library,BM25,4691714159388508affec86fac8ad52a19cb755f046fce499b13f9b812d93a91,0,0.0,0.0
41,library,BM25,930086dfe34a4b49098c2805106dd3387a9a018dca0a916dc53c3236b7e46c28,0,0.0,0.0
41,library,BM25,4d18d4b46971edefe69e165bbf3d355bd09882daad896fa2a113d59670766386,0,0.0,0.0
41,library,BM25,e6b6766f07e2e48180a8728be7f2831f84ec4c08a641976f4ef7211f952e6ec8,0,0.0,0.0
41,library,BM25,6c8504aad308bdfb97e313f240871b8d9c54ab525e4c263928269e004311ae71,0,0.0,0.0
41,library,BM25,070c926019c743c856948309d217e40ae4de7b0dcf320237dd71c05ced6572db,0,0.0,0.0
41,library,BM25,57f447c9c4297e527c02460119090a9cf95b189b0960cc428514ccd12fd40e5b,0,0.0,0.0
41,library,BM25,448923ecde33fc23496960b4f20cc1b0def6c519628b9f0cccb13209efa846bb,0,0.0,0.0
41,library,BM25,a2ae2b747abfcc268ae17edd53153a7d3f7bef9f17a14333cc46ba12758eb1be,0,0.0,0.0
41,library,BM25,c03c7e04a4fc1d9e5e1637712b53ad01437d43df9e8541af7b43d90d29c57d6a,0,0.0,0.0
41,library,BM25,a0c9af918a185f012881c9847df34daf8eefedcb613f8db55761354b8cab5d33,0,0.0,0.0
41,library,BM25,73e5e0cf5df55a534f3d2ce62768cfdd7fedefdb3f2857442dc324c57e0469d0,0,0.0,0.0
41,library,BM25,5ef77626f0c6168ef610df8417f28c9caa2cdae96d6facfd49dcff5efe155a91,0,0.0,0.0
41,library,BM25,e44bbf9428754ec60369ba1e77769319a457991280e63914e8de4a9d7d5d9d6a,0,0.0,0.0
41,library,BM25,9cf7e34ed768b0998e26fc9def180d12ab32b893202de69a84cc4817a6f21bf9,0,0.0,0.0
41,library,BM25,ede7616201b563d1c723406ad968012e8c40fef88ef1c1cac8f20c4965b381dc,0,0.0,0.0
41,library,BM25,f28148f7b984d90771e8f6b7a10dfd6ffacecfee763ed3b474b05af8396281a7,10,0.0,0.1
41,library,BM25,6bf282f8ef8967babf4f9466abc45d575c62beb5f3a3373f329aa61eda8b4b8b,0,0.0,0.0
41,library,BM25,fc7848840afcde711930f68ce67684af85e1d219e17d0bc7864f9a23db9f5d71,0,0.0,0.0
41,library,BM25,ed1f5673ae8f44c0dbe105788e4ba0cb48edad8047ebf76a44dbe98a013cc205,0,0.0,0.0
41,library,BM25,72746aa95ad33c5f00d27fe7c7525473f9a690b3abfd4a52f57d0e016d17c21c,0,0.0,0.0
41,library,BM25,9a4c22e29b6622180ebc9cf18c947be7e17fff243c004300c095d94ae8884474,0,0.0,0.0
41,library,BM25,376e8a22f788db88c9a7980318efde508ff4f20ddb54478855ef8e167655478b,0,0.0,0.0
41,library,BM25,ee30f13e7d1d8f97c92f0a9616b1569b43dc51d1e438dbd57e0bf42dcdc8b615,9,0.0,0.1111111111111111
41,library,BM25,dec9cdb8dfe361ea75ad29136bfd16b276ef274bf96c701265ae3398ef6e27b5,0,0.0,0.0
41,library,BM25,4a3436d17be585fcdd04750e3c6f3ec9a8068614476aa95ca42afc9a2855d5aa,0,0.0,0.0
41,library,BM25,0efa2cd220b1cfad9d723f7820305cd77c0a2bc804eec5bef0afdf4202322452,0,0.0,0.0
41,library,BM25,ff181be9d09f22550782ea19ab6941821d4c331a6319df14e97379e5670f3bf5,3,0.0,0.3333333333333333
