ses_raw,u_bound
170.500000,1176.000000
170.500000,1176.000000
167.000000,1156.000000
167.000000,1156.000000
167.000000,1156.000000
167.000000,1156.000000
163.750000,1156.000000
163.750000,1156.000000
163.750000,1156.000000
167.000000,1156.000000
167.000000,1156.000000
167.000000,1156.000000
162.000000,1156.000000
163.750000,1156.000000
153.250000,1176.000000
149.750000,1156.000000
149.750000,1156.000000
149.750000,1156.000000
149.750000,1156.000000
149.750000,1156.000000
149.750000,1156.000000
149.750000,1156.000000
157.500000,1156.000000
146.500000,1156.000000
146.500000,1156.000000
152.250000,1156.000000
152.250000,1156.000000
142.000000,1156.000000
141.750000,1156.000000
149.750000,1156.000000
145.500000,1156.000000
163.750000,1156.000000
130.250000,1156.000000
151.500000,1156.000000
